FarmFresh Egg Tray 30-Pack,P010,code128,FarmFresh,P1,PK,PK,PK,16000,20000,50,No Tax,exclusive,assets/uploads/farmfresh_egg_tray_30-pack.png,SP1_3,White|Brown,CF1,CF2,CF3,CF4,CF5,CF6,HSN010,Eggs 30-Pack,Fresh eggs in a 30-pack tray from FarmFresh,,AgroSupplier,SP010,16000,,,,,,,,
CluckKing Chicken Drumsticks 1Kg,P011,code128,CluckKing,P1,KG,KG,KG,11200,14000,50,No Tax,exclusive,assets/uploads/cluckking_chicken_drumsticks_1kg.png,SP1_1,Regular|Spicy,CF1,CF2,CF3,CF4,CF5,CF6,HSN011,Drumsticks 1Kg,Flavorful drumsticks from CluckKing for barbecues,,AgroSupplier,SP011,11200,,,,,,,,
OrganicNest Pig Meat 1Kg,P012,code128,OrganicNest,P1,KG,KG,KG,17600,22000,50,No Tax,exclusive,assets/uploads/organicnest_pig_meat_1kg.png,P1,Lean|Fatty,CF1,CF2,CF3,CF4,CF5,CF6,HSN012,Pig Meat 1Kg,Organic pig meat from OrganicNest, ethically sourced,,AgroSupplier,SP012,17600,,,,,,,,
SunGold Sunflower Oil 20L,I001,code128,SunGold,I1,LT,LT,LT,72000,90000,50,No Tax,exclusive,assets/uploads/sungold_sunflower_oil_20l.png,SI1_1,Refined|Semi-Refined,CF1,CF2,CF3,CF4,CF5,CF6,HSN013,Sunflower Oil 20L,Pure sunflower oil from SunGold, ideal for bulk cooking,,AgroSupplier,SP013,72000,,,,,,,,
AgroPure Sunflower Oil 5L,I002,code128,AgroPure,I1,LT,LT,LT,20000,25000,50,No Tax,exclusive,assets/uploads/agropure_sunflower_oil_5l.png,SI1_1,Refined|Semi-Refined,CF1,CF2,CF3,CF4,CF5,CF6,HSN014,Sunflower Oil 5L,High-quality sunflower oil from AgroPure for daily use,,AgroSupplier,SP014,20000,,,,,,,,
OilMasters Sunflower Cake 10Kg,I003,code128,OilMasters,I1,KG,KG,KG,24000,30000,50,No Tax,exclusive,assets/uploads/oilmasters_sunflower_cake_10kg.png,SI1_2,Regular|Pellet,CF1,CF2,CF3,CF4,CF5,CF6,HSN015,Sunflower Cake 10Kg,Nutritious sunflower cake from OilMasters for animal feed,,AgroSupplier,SP015,24000,,,,,,,,
SunGold Soybean Oil 5L,I004,code128,SunGold,I1,LT,LT,LT,22400,28000,50,No Tax,exclusive,assets/uploads/sungold_soybean_oil_5l.png,SI1_3,Refined|Unrefined,CF1,CF2,CF3,CF4,CF5,CF6,HSN016,Soybean Oil 5L,Premium soybean oil from SunGold for cooking,,AgroSupplier,SP016,22400,,,,,,,,
AgroPure Sesame Oil 1L,I005,code128,AgroPure,I1,LT,LT,LT,12000,15000,50,No Tax,exclusive,assets/uploads/agropure_sesame_oil_1l.png,SI1_1,Pure|Blended,CF1,CF2,CF3,CF4,CF5,CF6,HSN017,Sesame Oil 1L,Pure sesame oil from AgroPure, great for flavoring,,AgroSupplier,SP017,12000,,,,,,,,
OilMasters Groundnut Oil 5L,I006,code128,OilMasters,I1,LT,LT,LT,24000,30000,50,No Tax,exclusive,assets/uploads/oilmasters_groundnut_oil_5l.png,SI1_1,Refined|Unrefined,CF1,CF2,CF3,CF4,CF5,CF6,HSN018,Groundnut Oil 5L,Rich groundnut oil from OilMasters for frying,,AgroSupplier,SP018,24000,,,,,,,,
SunGold Sunflower Oil 1L,I007,code128,SunGold,I1,LT,LT,LT,4800,6000,50,No Tax,exclusive,assets/uploads/sungold_sunflower_oil_1l.png,SI1_1,Refined|Semi-Refined,CF1,CF2,CF3,CF4,CF5,CF6,HSN019,Sunflower Oil 1L,Convenient 1L sunflower oil from SunGold for home use,,AgroSupplier,SP019,4800,,,,,,,,
AgroPure Sunflower Cake 5Kg,I008,code128,AgroPure,I1,KG,KG,KG,12000,15000,50,No Tax,exclusive,assets/uploads/agropure_sunflower_cake_5kg.png,SI1_2,Regular|Pellet,CF1,CF2,CF3,CF4,CF5,CF6,HSN020,Sunflower Cake 5Kg,Sunflower cake from AgroPure for livestock feed,,AgroSupplier,SP020,12000,,,,,,,,
OilMasters Sesame Oil 500mL,I009,code128,OilMasters,I1,LT,LT,LT,6400,8000,50,No Tax,exclusive,assets/uploads/oilmasters_sesame_oil_500ml.png,SI1_1,Pure|Blended,CF1,CF2,CF3,CF4,CF5,CF6,HSN021,Sesame Oil 500mL,Premium sesame oil from OilMasters for culinary use,,AgroSupplier,SP021,6400,,,,,,,,
SunGold Soybean Oil 20L,I010,code128,SunGold,I1,LT,LT,LT,76000,95000,50,No Tax,exclusive,assets/uploads/sungold_soybean_oil_20l.png,SI1_3,Refined|Unrefined,CF1,CF2,CF3,CF4,CF5,CF6,HSN022,Soybean Oil 20L,Bulk soybean oil from SunGold for industrial use,,AgroSupplier,SP022,76000,,,,,,,,
AgroPure Refined Sunflower Oil 5L,I011,code128,AgroPure,I1,LT,LT,LT,21600,27000,50,No Tax,exclusive,assets/uploads/agropure_refined_sunflower_oil_5l.png,SI1_1,Refined|Pure,CF1,CF2,CF3,CF4,CF5,CF6,HSN023,Refined Oil 5L,Purely refined sunflower oil from AgroPure,,AgroSupplier,SP023,21600,,,,,,,,
OilMasters Groundnut Oil 1L,I012,code128,OilMasters,I1,LT,LT,LT,5600,7000,50,No Tax,exclusive,assets/uploads/oilmasters_groundnut_oil_1l.png,SI1_1,Refined|Unrefined,CF1,CF2,CF3,CF4,CF5,CF6,HSN024,Groundnut Oil 1L,Groundnut oil from OilMasters for small-scale cooking,,AgroSupplier,SP024,5600,,,,,,,,
SunGold Sesame Oil 2L,I013,code128,SunGold,I1,LT,LT,LT,16000,20000,50,No Tax,exclusive,assets/uploads/sungold_sesame_oil_2l.png,SI1_1,Pure|Blended,CF1,CF2,CF3,CF4,CF5,CF6,HSN025,Sesame Oil 2L,Sesame oil from SunGold for enhanced flavor,,AgroSupplier,SP025,16000,,,,,,,,
HomeEase Rice 5Kg,D001,code128,HomeEase,D1,KG,KG,KG,9600,12000,35,No Tax,exclusive,assets/uploads/homeease_rice_5kg.png,SD1_1,White|Brown,CF1,CF2,CF3,CF4,CF5,CF6,HSN026,Rice 5Kg,Premium rice from HomeEase for daily meals,,AgroSupplier,SP026,9600,,,,,,,,
DailyMart Sugar 2Kg,D002,code128,DailyMart,D1,KG,KG,KG,4800,6000,35,No Tax,exclusive,assets/uploads/dailymart_sugar_2kg.png,SD1_2,Granulated|Brown,CF1,CF2,CF3,CF4,CF5,CF6,HSN027,Sugar 2Kg,Refined sugar from DailyMart for sweetening,,AgroSupplier,SP027,4800,,,,,,,,
KitchenJoy Cooking Salt 1Kg,D003,code128,KitchenJoy,D1,KG,KG,KG,2400,3000,35,No Tax,exclusive,assets/uploads/kitchenjoy_cooking_salt_1kg.png,SD1_3,Iodized|Non-Iodized,CF1,CF2,CF3,CF4,CF5,CF6,HSN028,Salt 1Kg,Pure cooking salt from KitchenJoy for seasoning,,AgroSupplier,SP028,2400,,,,,,,,
HomeEase Soap Bar 200g,D004,code128,HomeEase,D1,PC,PC,PC,1600,2000,35,No Tax,exclusive,assets/uploads/homeease_soap_bar_200g.png,SD1_4,Lavender|Unscented,CF1,CF2,CF3,CF4,CF5,CF6,HSN029,Soap 200g,Gentle soap bar from HomeEase for daily use,,AgroSupplier,SP029,1600,,,,,,,,
DailyMart Maize Flour 2Kg,D005,code128,DailyMart,D1,KG,KG,KG,4000,5000,35,No Tax,exclusive,assets/uploads/dailymart_maize_flour_2kg.png,SD1_1,Fine|Coarse,CF1,CF2,CF3,CF4,CF5,CF6,HSN030,Maize Flour 2Kg,High-quality maize flour from DailyMart for ugali,,AgroSupplier,SP030,4000,,,,,,,,
KitchenJoy Milk 1L,D006,code128,KitchenJoy,D1,LT,LT,LT,3200,4000,35,No Tax,exclusive,assets/uploads/kitchenjoy_milk_1l.png,D1,Whole|Skimmed,CF1,CF2,CF3,CF4,CF5,CF6,HSN031,Milk 1L,Fresh milk from KitchenJoy, pasteurized and rich,,AgroSupplier,SP031,3200,,,,,,,,
HomeEase Cheese 500g,D007,code128,HomeEase,D1,KG,KG,KG,8000,10000,35,No Tax,exclusive,assets/uploads/homeease_cheese_500g.png,D1,Cheddar|Mozzarella,CF1,CF2,CF3,CF4,CF5,CF6,HSN032,Cheese 500g,Creamy cheese from HomeEase for sandwiches,,AgroSupplier,SP032,8000,,,,,,,,
DailyMart Rice 10Kg,D008,code128,DailyMart,D1,KG,KG,KG,17600,22000,35,No Tax,exclusive,assets/uploads/dailymart_rice_10kg.png,SD1_1,White|Brown,CF1,CF2,CF3,CF4,CF5,CF6,HSN033,Rice 10Kg,Bulk rice from DailyMart for large families,,AgroSupplier,SP033,17600,,,,,,,,
KitchenJoy Sugar 5Kg,D009,code128,KitchenJoy,D1,KG,KG,KG,11200,14000,35,No Tax,exclusive,assets/uploads/kitchenjoy_sugar_5kg.png,SD1_2,Granulated|Brown,CF1,CF2,CF3,CF4,CF5,CF6,HSN034,Sugar 5Kg,Granulated sugar from KitchenJoy for baking,,AgroSupplier,SP034,11200,,,,,,,,
HomeEase Maize Flour 5Kg,D010,code128,HomeEase,D1,KG,KG,KG,8800,11000,35,No Tax,exclusive,assets/uploads/homeease_maize_flour_5kg.png,SD1_1,Fine|Coarse,CF1,CF2,CF3,CF4,CF5,CF6,HSN035,Maize Flour 5Kg,Maize flour from HomeEase for traditional dishes,,AgroSupplier,SP035,8800,,,,,,,,
DailyMart Soap Pack 4-Piece,D011,code128,DailyMart,D1,PK,PK,PK,5600,7000,35,No Tax,exclusive,assets/uploads/dailymart_soap_pack_4-piece.png,SD1_4,Lavender|Unscented,CF1,CF2,CF3,CF4,CF5,CF6,HSN036,Soap 4-Pack,Soap pack from DailyMart for household use,,AgroSupplier,SP036,5600,,,,,,,,
KitchenJoy Yogurt 500mL,D012,code128,KitchenJoy,D1,LT,LT,LT,4000,5000,35,No Tax,exclusive,assets/uploads/kitchenjoy_yogurt_500ml.png,D1,Plain|Flavored,CF1,CF2,CF3,CF4,CF5,CF6,HSN037,Yogurt 500mL,Natural yogurt from KitchenJoy, probiotic-rich,,AgroSupplier,SP037,4000,,,,,,,,
AgroHarvest Cashew Nuts 1Kg,A001,code128,AgroHarvest,A1,KG,KG,KG,16000,20000,35,No Tax,exclusive,assets/uploads/agroharvest_cashew_nuts_1kg.png,SA1_1,Roasted|Salted,CF1,CF2,CF3,CF4,CF5,CF6,HSN038,Cashew 1Kg,Premium cashew nuts from AgroHarvest, roasted,,AgroSupplier,SP038,16000,,,,,,,,
GreenField Groundnuts 2Kg,A002,code128,GreenField,A1,KG,KG,KG,8000,10000,35,No Tax,exclusive,assets/uploads/greenfield_groundnuts_2kg.png,SA1_2,Raw|Roasted,CF1,CF2,CF3,CF4,CF5,CF6,HSN039,Groundnuts 2Kg,Fresh groundnuts from GreenField, raw or roasted,,AgroSupplier,SP039,8000,,,,,,,,
CropKing Maize 10Kg,A003,code128,CropKing,A1,KG,KG,KG,12000,15000,35,No Tax,exclusive,assets/uploads/cropking_maize_10kg.png,SA1_3,Yellow|White,CF1,CF2,CF3,CF4,CF5,CF6,HSN040,Maize 10Kg,High-yield maize from CropKing for milling,,AgroSupplier,SP040,12000,,,,,,,,
AgroHarvest Wheat 5Kg,A004,code128,AgroHarvest,A1,KG,KG,KG,9600,12000,35,No Tax,exclusive,assets/uploads/agroharvest_wheat_5kg.png,SA1_4,Whole|Refined,CF1,CF2,CF3,CF4,CF5,CF6,HSN041,Wheat 5Kg,Quality wheat from AgroHarvest for baking,,AgroSupplier,SP041,9600,,,,,,,,
GreenField Agricultural Seeds 1Kg,A005,code128,GreenField,A1,KG,KG,KG,6400,8000,35,No Tax,exclusive,assets/uploads/greenfield_agricultural_seeds_1kg.png,A1,Maize|Sunflower,CF1,CF2,CF3,CF4,CF5,CF6,HSN042,Seeds 1Kg,Certified agricultural seeds from GreenField,,AgroSupplier,SP042,6400,,,,,,,,
CropKing Raw Cashew 5Kg,A006,code128,CropKing,A1,KG,KG,KG,20000,25000,35,No Tax,exclusive,assets/uploads/cropking_raw_cashew_5kg.png,SA1_1,Raw|Processed,CF1,CF2,CF3,CF4,CF5,CF6,HSN043,Raw Cashew 5Kg,Raw cashew nuts from CropKing for processing,,AgroSupplier,SP043,20000,,,,,,,,
AgroHarvest Sesame Seeds 1Kg,A007,code128,AgroHarvest,A1,KG,KG,KG,7200,9000,35,No Tax,exclusive,assets/uploads/agroharvest_sesame_seeds_1kg.png,SA1_1,White|Black,CF1,CF2,CF3,CF4,CF5,CF6,HSN044,Sesame 1Kg,Pure sesame seeds from AgroHarvest for oil or snacks,,AgroSupplier,SP044,7200,,,,,,,,
GreenField Peas 2Kg,A008,code128,GreenField,A1,KG,KG,KG,5600,7000,35,No Tax,exclusive,assets/uploads/greenfield_peas_2kg.png,SA1_1,Green|Yellow,CF1,CF2,CF3,CF4,CF5,CF6,HSN045,Peas 2Kg,Fresh peas from GreenField for cooking,,AgroSupplier,SP045,5600,,,,,,,,
CropKing Cashew Nuts 500g,A009,code128,CropKing,A1,KG,KG,KG,8800,11000,35,No Tax,exclusive,assets/uploads/cropking_cashew_nuts_500g.png,SA1_1,Roasted|Salted,CF1,CF2,CF3,CF4,CF5,CF6,HSN046,Cashew 500g,Roasted cashew nuts from CropKing, snack-ready,,AgroSupplier,SP046,8800,,,,,,,,
AgroHarvest Groundnuts 5Kg,A010,code128,AgroHarvest,A1,KG,KG,KG,17600,22000,35,No Tax,exclusive,assets/uploads/agroharvest_groundnuts_5kg.png,SA1_2,Raw|Roasted,CF1,CF2,CF3,CF4,CF5,CF6,HSN047,Groundnuts 5Kg,Bulk groundnuts from AgroHarvest for roasting,,AgroSupplier,SP047,17600,,,,,,,,
GreenField Maize 5Kg,A011,code128,GreenField,A1,KG,KG,KG,6400,8000,35,No Tax,exclusive,assets/uploads/greenfield_maize_5kg.png,SA1_3,Yellow|White,CF1,CF2,CF3,CF4,CF5,CF6,HSN048,Maize 5Kg,Maize grains from GreenField for milling,,AgroSupplier,SP048,6400,,,,,,,,
CropKing Sesame Seeds 500g,A012,code128,CropKing,A1,KG,KG,KG,4000,5000,35,No Tax,exclusive,assets/uploads/cropking_sesame_seeds_500g.png,SA1_1,White|Black,CF1,CF2,CF3,CF4,CF5,CF6,HSN049,Sesame 500g,Sesame seeds from CropKing for culinary use,,AgroSupplier,SP049,4000,,,,,,,,
AgroHarvest Peas 1Kg,A013,code128,AgroHarvest,A1,KG,KG,KG,3200,4000,35,No Tax,exclusive,assets/uploads/agroharvest_peas_1kg.png,SA1_1,Green|Yellow,CF1,CF2,CF3,CF4,CF5,CF6,HSN050,Peas 1Kg,Green peas from AgroHarvest for soups and stews,,AgroSupplier,SP050,3200,,,,,,,,
